Teams2.yearID,Teams2.teamID,Teams2.W,DivWin,WCWin,LgWin,WSWin,Teams2.attendance
2010,HOU,76,0,0,0,0,2331490
2010,KCA,67,0,0,0,0,1615324
2010,LAA,80,0,0,0,0,3250816
2010,LAN,80,0,0,0,0,3562320
2010,MIL,77,0,0,0,0,2776531
2010,MIN,94,1,0,0,0,3223640
2010,NYA,95,0,1,0,0,3765807
2010,NYN,79,0,0,0,0,2559738
2010,OAK,81,0,0,0,0,1418391
2010,PHI,97,1,0,0,0,3647249
2010,PIT,57,0,0,0,0,1613399
2010,SDN,90,0,0,0,0,2131774
2010,SEA,61,0,0,0,0,2085488
2010,SFN,92,1,0,1,1,3037443
2010,SLN,86,0,0,0,0,3301218
2010,TBA,96,1,0,0,0,1843445
2010,TEX,90,1,0,1,0,2505171
2010,TOR,85,0,0,0,0,1625555
2010,WAS,69,0,0,0,0,1828066
2011,ARI,94,1,0,0,0,2105432
2011,ATL,89,0,0,0,0,2372940
2011,BAL,69,0,0,0,0,1755461
2011,BOS,90,0,0,0,0,3054001
2011,CHA,79,0,0,0,0,2001117
2011,CHN,71,0,0,0,0,3017966
2011,CIN,79,0,0,0,0,2213588
2011,CLE,80,0,0,0,0,1840835
2011,COL,73,0,0,0,0,2909777
2011,DET,95,1,0,0,0,2642045
2011,FLO,72,0,0,0,0,1477462
2011,HOU,56,0,0,0,0,2067016
2011,KCA,71,0,0,0,0,1724450
2011,LAA,86,0,0,0,0,3166321
2011,LAN,82,0,0,0,0,2935139
2011,MIL,96,1,0,0,0,3071373
2011,MIN,63,0,0,0,0,3168116
2011,NYA,97,1,0,0,0,3653680
2011,NYN,77,0,0,0,0,2352596
2011,OAK,74,0,0,0,0,1476791
2011,PHI,102,1,0,0,0,3680718
2011,PIT,72,0,0,0,0,1940429
2011,SDN,71,0,0,0,0,2143018
2011,SEA,67,0,0,0,0,1939421
2011,SFN,86,0,0,0,0,3387303
2011,SLN,90,0,1,1,1,3093954
2011,TBA,91,0,1,0,0,1529188
2011,TEX,96,1,0,1,0,2946949
2011,TOR,81,0,0,0,0,1818103
2011,WAS,80,0,0,0,0,1940478
2012,ARI,81,0,0,0,0,2177617
2012,ATL,94,0,1,0,0,2420171
2012,BAL,93,0,1,0,0,2102240
2012,BOS,69,0,0,0,0,3043003
2012,CHA,85,0,0,0,0,1965955
2012,CHN,61,0,0,0,0,2882756
2012,CIN,97,1,0,0,0,2347251
2012,CLE,68,0,0,0,0,1603596
2012,COL,64,0,0,0,0,2630458
2012,DET,88,1,0,1,0,3028033
2012,HOU,55,0,0,0,0,1607733
2012,KCA,72,0,0,0,0,1739859
2012,LAA,89,0,0,0,0,3061770
2012,LAN,86,0,0,0,0,3324246
2012,MIA,69,0,0,0,0,2219444
2012,MIL,83,0,0,0,0,2831385
2012,MIN,66,0,0,0,0,2776354
2012,NYA,95,1,0,0,0,3542406
2012,NYN,74,0,0,0,0,2242803
2012,OAK,94,1,0,0,0,1679013
2012,PHI,81,0,0,0,0,3565718
2012,PIT,79,0,0,0,0,2091918
2012,SDN,76,0,0,0,0,2123721
2012,SEA,75,0,0,0,0,1721920
2012,SFN,94,1,0,1,1,3377371
2012,SLN,88,0,1,0,0,3262109
2012,TBA,90,0,0,0,0,1559681
2012,TEX,93,0,1,0,0,3460280
2012,TOR,73,0,0,0,0,2099663
2012,WAS,98,1,0,0,0,2370794
2013,ARI,81,0,0,0,0,2134795
2013,ATL,96,1,0,0,0,2548679
2013,BAL,85,0,0,0,0,2357561
2013,BOS,97,1,0,1,1,2833333
2013,CHA,63,0,0,0,0,1768413
2013,CHN,66,0,0,0,0,2642682
2013,CIN,90,0,1,0,0,2534369
2013,CLE,92,0,1,0,0,1572926
2013,COL,74,0,0,0,0,2793828
2013,DET,93,1,0,0,0,3083397
2013,HOU,51,0,0,0,0,1651883
2013,KCA,86,0,0,0,0,1750754
2013,LAA,78,0,0,0,0,3019505
2013,LAN,92,1,0,0,0,3743527
2013,MIA,62,0,0,0,0,1586322
2013,MIL,74,0,0,0,0,2531105
2013,MIN,66,0,0,0,0,2477644
2013,NYA,85,0,0,0,0,3279589
2013,NYN,74,0,0,0,0,2135657
2013,OAK,96,1,0,0,0,1809302
2013,PHI,73,0,0,0,0,3012403
2013,PIT,94,0,1,0,0,2256862
2013,SDN,76,0,0,0,0,2166691
2013,SEA,71,0,0,0,0,1761546
2013,SFN,76,0,0,0,0,3326796
2013,SLN,97,1,0,1,0,3369769
2013,TBA,92,0,1,0,0,1510300
2013,TEX,91,0,0,0,0,3178273
2013,TOR,74,0,0,0,0,2536562
2013,WAS,86,0,0,0,0,2652422
2014,ARI,64,0,0,0,0,2073730
2014,ATL,79,0,0,0,0,2354305
2014,BAL,96,1,0,0,0,2464473
2014,BOS,71,0,0,0,0,2956089
2014,CHA,73,0,0,0,0,1650821
2014,CHN,73,0,0,0,0,2652113
2014,CIN,76,0,0,0,0,2476664
2014,CLE,85,0,0,0,0,1437393
2014,COL,66,0,0,0,0,2680329
2014,DET,90,1,0,0,0,2917209
2014,HOU,70,0,0,0,0,1751829
2014,KCA,89,0,1,1,0,1956482
2014,LAA,98,1,0,0,0,3095935
2014,LAN,94,1,0,0,0,3782337
2014,MIA,77,0,0,0,0,1732283
2014,MIL,82,0,0,0,0,2797384
2014,MIN,70,0,0,0,0,2250606
2014,NYA,84,0,0,0,0,3401624
2014,NYN,79,0,0,0,0,2148808
2014,OAK,88,0,1,0,0,2003628
2014,PHI,73,0,0,0,0,2423852
2014,PIT,88,0,1,0,0,2442564
2014,SDN,77,0,0,0,0,2195373
2014,SEA,87,0,0,0,0,2064334
2014,SFN,88,0,1,1,1,3368697
2014,SLN,90,1,0,0,0,3540649
2014,TBA,77,0,0,0,0,1446464
2014,TEX,67,0,0,0,0,2718733
2014,TOR,83,0,0,0,0,2375525
2014,WAS,96,1,0,0,0,2579389
2015,ARI,79,0,0,0,0,2080145
2015,ATL,67,0,0,0,0,2001392
2015,BAL,81,0,0,0,0,2281202
2015,BOS,78,0,0,0,0,2880694
2015,CHA,76,0,0,0,0,1755810
2015,CHN,97,0,1,0,0,2919122
2015,CIN,64,0,0,0,0,2419506
2015,CLE,81,0,0,0,0,1388905
