Rk,Tm,Lg,G,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
11,w-MIL,NL,162,89,73,0.549,L 0,4.7,4.7,0,0.3,0.3,81-81,8,21-11,45-31,15-19,12-Aug,49-32,40-41,8-Jul,27-18,64-49,25-24,48-40,41-33,3-Jul,15-5,22-8
12,NYM,NL,162,86,76,0.531,L 0,4.9,4.5,0.3,0.2,0.5,86-76,0,40-36,14-19,17-16,15-5,48-33,38-43,9-Jul,24-23,68-53,18-23,47-55,39-21,3-Jul,14-6,19-11
13,ARI,NL,162,85,77,0.525,L 0,5,4.6,0.4,0.2,0.6,88-74,-3,17-17,16-16,38-38,14-6,44-37,41-40,9-Sep,24-26,60-58,25-19,35-40,50-37,2-Aug,10-Oct,19-11
14,BOS,AL,162,84,78,0.518,L 0,5.6,5.1,0.5,-0.2,0.2,87-75,-3,35-41,21-11,18-16,10-Oct,38-43,46-35,8-Sep,23-22,60-48,24-30,28-45,56-33,6-Apr,12-Aug,14-16
15,CHC,NL,162,84,78,0.518,L 0,5,4.4,0.6,0.2,0.8,90-72,-6,17-17,37-39,18-14,8-Dec,51-30,33-48,9-Apr,19-27,70-60,14-18,39-45,45-33,8-Feb,12-Aug,13-17
16,PHI,NL,162,81,81,0.5,L 0,4.8,4.9,-0.1,0.2,0.1,79-83,2,36-40,20-13,14-19,9-Nov,45-36,36-45,6-Jul,20-20,63-56,18-25,48-52,33-29,7-Mar,13-Jul,18-Dec
17,TEX,AL,162,78,84,0.481,L 0,5,5.4,-0.4,0,-0.5,75-87,3,18-14,18-16,33-43,11-Sep,45-36,33-48,6-Jul,25-21,52-52,26-32,31-53,47-31,6-Apr,11-Sep,14-16
18,SFG,NL,162,77,85,0.475,L 0,4.2,4.8,-0.6,0.3,-0.3,71-91,6,14-19,14-19,38-38,9-Nov,35-46,42-39,13-3,38-16,57-56,20-29,42-55,35-30,7-Mar,12-Aug,18-Dec
19,CIN,NL,162,75,87,0.463,L 0,4.3,4.4,-0.1,0.2,0.2,80-82,-5,17-17,33-43,16-16,11-Sep,41-40,34-47,8-Jul,24-33,58-64,17-23,46-60,29-27,6-Apr,11-Sep,18-Dec
20,CHW,AL,161,72,89,0.447,L 0,4.4,5.2,-0.8,-0.3,-1,69-92,3,15-18,38-37,13-20,14-Jun,39-41,33-48,4-Apr,14-18,44-62,28-27,35-53,37-36,3-Jul,10-Oct,18-Dec
21,LAA,AL,162,72,90,0.444,L 0,4.7,5.4,-0.6,0,-0.6,72-90,0,17-18,13-18,30-46,8-Dec,38-43,34-47,7-Mar,18-22,49-60,23-30,29-55,43-35,7-Mar,14-Jun,21-Sep
22,COL,NL,162,71,91,0.438,L 0,5.2,5.9,-0.8,0.3,-0.4,71-91,0,16-17,15-18,32-44,12-Aug,43-38,28-53,6-Oct,22-21,46-55,25-36,38-60,33-31,5-May,9-Nov,18-Dec
23,SDP,NL,162,70,92,0.432,L 0,4.2,4.9,-0.7,0.3,-0.4,70-92,0,14-18,14-20,31-45,9-Nov,36-45,34-47,7-May,26-24,56-70,14-22,40-53,30-39,9-Jan,16-Apr,21-Sep
24,PIT,NL,162,69,93,0.426,L 0,4.7,5.6,-0.9,0.3,-0.7,68-94,1,21-Nov,29-47,17-17,8-Dec,35-46,34-47,11-Jul,19-25,53-66,16-27,30-72,39-21,6-Apr,13-Jul,13-17
25,SEA,AL,162,68,94,0.42,L 0,4.7,5.5,-0.8,0,-0.9,69-93,-1,14-19,18-15,27-49,11-Sep,35-46,33-48,4-Sep,23-26,52-58,16-36,22-59,46-35,6-Apr,10-Oct,18-Dec
26,TOR,AL,162,67,95,0.414,L 0,4.5,5.1,-0.6,-0.1,-0.7,71-91,-4,33-43,17-18,14-17,17-Mar,35-46,32-49,8-Jul,18-23,43-65,24-30,35-58,32-37,4-Jun,8-Dec,14-16
27,KCR,AL,162,59,103,0.364,L 0,4.3,5.4,-1.1,-0.2,-1.3,64-98,-5,23-Oct,31-45,24-Sep,11-Sep,31-50,28-53,9-Apr,15-25,43-76,16-27,28-60,31-43,7-Mar,13-Jul,13-17
28,MIA,NL,162,57,105,0.352,L 0,3.8,5,-1.2,0.3,-0.9,61-101,-4,24-52,24-Oct,14-18,11-Sep,30-51,27-54,9-Jul,16-28,39-81,18-24,38-83,19-22,6-Apr,14-Jun,20-Oct
29,BAL,AL,162,54,108,0.333,L 0,4.5,6.1,-1.6,0,-1.5,60-102,-6,24-52,20-Dec,23-Nov,13-Jul,25-56,29-52,8-Feb,22-Nov,33-67,21-41,26-67,28-41,5-May,12-Aug,20-Oct
30,DET,AL,161,47,114,0.292,L 0,3.6,5.7,-2.1,-0.2,-2.2,49-112,-2,14-19,22-53,27-Jun,15-May,22-59,25-55,10-Jun,14-22,34-90,13-24,19-65,28-49,8-Feb,15-May,22-Aug
,Avg,,,80,80,0.5,,4.8,4.8,,,,81-80,,23-23,24-23,23-24,10-Oct,42-38,38-42,6-Jun,21-21,58-56,22-24,36-49,44-31,5-May,10-Sep,14-15
